section,title,subtitle,period,details
Summary,AI/LLM & Machine Learning Leader,,,"Using machine learning to address complex challenges and drive transformative change across industries."
Work Experience,Technical Leader — Machine Learning Engineer,Zooplus,Jan 2024 – Present,"Own long-term AI roadmap, mentor teams, and architect generative AI solutions for complex business problems."
Work Experience,[R&D] Data Scientist,Zooplus,May 2022 – Jan 2024,"Delivered data analysis insights, improved predictive models, and shared ML best practices."
Work Experience,Tutor / Mentor,CodersLab,Mar 2022 – Mar 2024,"Taught data analysis, Python, and SQL; developed learning materials and mentored new tutors."
Work Experience,Machine Learning Data Scientist,Avenga,Oct 2021 – May 2022,"Led an NLP-focused project, built solutions, and enforced data management best practices."
Work Experience,Cloud Business Analyst,Pegasystems,Jan 2021 – Sep 2021,"Built cloud data pipelines, optimized usage, and supported teams on cloud best practices."
Work Experience,Data Analyst,Bidroom,Apr 2019 – Dec 2020,"Created ETL pipelines, delivered analytics insights, and supported data-driven management."
Work Experience,Content Performance Analyst,Brainly,Jan 2018 – Mar 2019,"Built automated content processes and ML-assisted analytics for new markets."
Work Experience,Payroll Administrator — Tax Equalization / M&A,IBM (Services to Google),Jul 2016 – Jan 2018,"Managed payroll, tax equalization, and M&A support activities."
Work Experience,Investor Services Specialist,Brown Brothers Harriman,Jan 2016 – Jul 2016,"Provided investor services support and reporting."
Work Experience,Flexible Benefit Administrator,AON,Mar 2014 – Dec 2015,"Administered benefits operations and client support."
Education,Criminal Rehabilitation — Master’s degree,Jagiellonian University,Sep 2010 – Jul 2015,"Graduate degree focused on rehabilitation and social systems."
Education,Philosophy — Bachelor’s Degree,Pedagogical University,Sep 2008 – Jul 2011,"Foundations in philosophy and critical thinking."
Courses,Six Sigma — Yellow Belt,MoreSteam,Jun 2016 – Present,"Continuous improvement methodologies."
Courses,AWS Certified Solutions Architect – Associate,AWS,Mar 2021 – Mar 2024,"Cloud architecture and AWS solutions." 
Projects,Product image → product characteristics,Technical Leader,,"Designed AI-driven mapping of product imagery to structured attributes."
Projects,Internal Knowledge Chatbot,Technical Leader,,"Built an internal chatbot to surface institutional knowledge securely."
Projects,Company Text2SQL bot,Technical Leader,,"Enabled natural language access to analytics data via Text2SQL."
Projects,Fraudential Purchase detection,Project owner,,"Delivered fraud detection tooling for purchase monitoring."
Projects,Hotel database duplicates finder,Project owner,,"Built deduplication solutions for hotel content databases."
Skills,Generative AI / LLMs,,,"Applied generative AI, LLMs, and deep learning to production use cases."
Skills,Python / PyTorch / SQL,,,"Developed ML pipelines, NLP models, and analytics workflows."
Skills,Cloud & MLOps,,,"AWS, SageMaker, Git, data visualization, and project management."
Languages,Polish,Native,,"Native proficiency."
Languages,English,Fluent,,"Fluent professional proficiency."
